Current Volume (mL),Nutrients Added (mL),Old pH,New pH,Cumulative pH Drop,Cumulative Nutrients Added (mL)
15019,19,7.5,7.454,0.046,19
15036,17,7.454,7.42,0.08,36
15054,18,7.42,7.389,0.111,54
15064,10,7.389,7.357,0.143,64
15080,16,7.357,7.321,0.179,80
15098,18,7.321,7.303,0.197,98
15112,14,7.303,7.253,0.247,112
15128,16,7.253,7.229,0.271,128
15139,11,7.229,7.213,0.287,139
15149,10,7.213,7.196,0.304,149
15166,17,7.196,7.151,0.349,166
15178,12,7.151,7.136,0.364,178
15189,11,7.136,7.105,0.395,189
15199,10,7.105,7.091,0.409,199
15209,10,7.091,7.072,0.428,209
15218,9,7.072,7.031,0.469,218
15224,6,7.031,6.987,0.513,224
15229,5,6.987,6.941,0.559,229
15238,9,6.941,6.931,0.569,238
15255,17,6.931,6.91,0.59,255
15261,6,6.91,6.879,0.621,261
15270,9,6.879,6.852,0.648,270
15278,8,6.852,6.822,0.678,278
15297,19,6.822,6.804,0.696,297
15308,11,6.804,6.764,0.736,308
15315,7,6.764,6.75,0.75,315
15321,6,6.75,6.715,0.785,321
15328,7,6.715,6.701,0.799,328
15341,13,6.701,6.666,0.834,341
15350,9,6.666,6.627,0.873,350
15360,10,6.627,6.598,0.902,360
15373,13,6.598,6.574,0.926,373
15382,9,6.574,6.552,0.948,382
15389,7,6.552,6.504,0.996,389
15396,7,6.504,6.456,1.044,396
15401,5,6.456,6.41,1.09,401
15409,8,6.41,6.38,1.12,409
15419,10,6.38,6.35,1.15,419
15428,9,6.35,6.332,1.168,428
15434,6,6.332,6.309,1.191,434
15444,10,6.309,6.293,1.207,444
15455,11,6.293,6.271,1.229,455
15470,15,6.271,6.237,1.263,470
15476,6,6.237,6.198,1.302,476
15493,17,6.198,6.188,1.312,493
15499,6,6.188,6.163,1.337,499
15513,14,6.163,6.141,1.359,513
15531,18,6.141,6.126,1.374,531
15548,17,6.126,6.104,1.396,548
15561,13,6.104,6.092,1.408,561
